record_id,period_start,period_end,report_date,measure_family,revenue_source,accounting_state,amount_original,currency,amount_usd_nominal,denominator_treatment,source_id,source_page,evidence_level,evidence_state,verification_status,observed_reported_or_reconstructed,notes
AFB-FP1-0001,1800-10-01,1801-09-30,1801-12-18,receipt,customs_merchandise_and_tonnage,cash_received_treasury,10126213.92,USD,10126213.92,include_operating_receipts,AFB-P1S001,216,E3,transcribed,single_source_image_check_required,reported,"Gallatin states receipts into Treasury for year ending September 30; do not substitute his counterfactual current-rate estimate of 10.5 million"
AFB-FP1-0002,1800-01-01,1800-12-31,1801-12-18,revenue,permanent_internal_duties,net_revenue,576888.80,USD,576888.80,exclude_until_period_and_cash_bridge_resolved,AFB-P1S001,217,E3,transcribed,single_source_image_check_required,reported,"Commissioner of Revenue abstract; revenue measure is not Treasury cash receipt"
AFB-FP1-0003,1800-01-01,1800-12-31,1801-12-18,revenue,stamp_duties,net_revenue,209853.32,USD,209853.32,exclude_until_period_and_cash_bridge_resolved,AFB-P1S001,217,E3,transcribed,single_source_image_check_required,reported,"Temporary internal revenue; keep separate from permanent internal duties"
AFB-FP1-0004,1800-10-01,1801-09-30,1801-12-18,receipt,all_internal_revenues,cash_received_treasury,910219.16,USD,910219.16,include_operating_receipts_after_image_verification,AFB-P1S001,217,E3,transcribed,ocr_amount_requires_image_check,reported,"OCR is degraded around this figure; do not use in dominance ratio until image verified"
AFB-FP1-0005,1801-10-01,1802-09-30,1802-12-16,receipt,customs_merchandise_and_tonnage,cash_received_treasury,12280000,USD,12280000,include_operating_receipts_after_exact_table_reconciliation,AFB-P1S002,252,E3,image_verified,image_verified_rounded_narrative_amount,reported,"Scan states 12.28 million was received into Treasury during the year ending September 30; retain rounded precision because no exact supporting cash statement has been reconciled"
AFB-FP1-0006,1801-10-01,1802-09-30,1802-12-16,receipt,public_lands,total_received_by_land_offices,326052.08,USD,326052.08,exclude_from_treasury_cash_denominator,AFB-P1S002,252,E3,image_verified,image_verified_exact_narrative_amount,reported,"Scan confirms total received at land offices; includes amounts not yet drawn into Treasury and payment in public-debt evidence"
AFB-FP1-0007,1801-10-01,1802-09-30,1802-12-16,receipt,public_lands,debt_certificates_received,17162.50,USD,17162.50,separate_non_specie_receipt,AFB-P1S002,252,E3,image_verified,image_verified_exact_narrative_amount,reported,"Scan confirms payment into Treasury in evidence of public debt; not specie cash"
AFB-FP1-0008,1801-10-01,1802-09-30,1802-12-16,receipt,public_lands,specie_paid_treasury,179575.52,USD,179575.52,include_operating_receipts,AFB-P1S002,252,E3,image_verified,image_verified_exact_narrative_amount,reported,"Scan confirms specie paid into Treasury; remaining balance stayed with land-office receivers"
AFB-FP1-0009,1802-10-01,1803-09-30,1803-10-25,receipt,customs_merchandise_and_tonnage,cash_received_treasury,10600000,USD,10600000,include_operating_receipts_after_exact_table_reconciliation,AFB-P1S003,263,E3,statement_reconciled,lower_bound_rounded_narrative,reported,"Report says receipts exceeded 10.6 million; value is a lower bound, not an exact observation"
AFB-FP1-0010,1802-10-01,1803-09-30,1803-10-25,payment,public_debt,principal_redeemed,3096700.69,USD,3096700.69,exclude_from_receipt_denominator_use_as_debt_comparison,AFB-P1S003,276;279-280,E3,statement_reconciled,exact_amount_reconciled_to_statements_d_and_e,reported,"Statement D derives principal redeemed after separating interest commissions exchange and other adjustments; Statement E's note confirms the exact annual amount"
AFB-FP1-0011,1803-09-30,1803-09-30,1803-10-25,balance,treasury_specie,cash_balance,5860000,USD,5860000,exclude_from_receipt_denominator_use_as_liquidity,AFB-P1S003,263,E3,statement_reconciled,rounded_narrative_amount,reported,"Stock balance, not period revenue; exact supporting balance statement remains to be located"
AFB-FP1-0012,1801-10-01,1802-09-30,1802-12-16,receipt,public_lands,cash_held_by_land_office_receivers,129314.06,USD,129314.06,exclude_from_treasury_cash_denominator,AFB-P1S002,252,E3,derived_from_image_verified_components,reconstructed_residual,derived,"Reconstructed as 326052.08 total less 17162.50 debt certificates and 179575.52 specie paid into Treasury; not cash received by Treasury"
