observation_id,period_start,period_end,period_basis,accounting_date,geography,flow_class,flow_subclass,accounting_state,gross_or_net,amount_nominal_usd,amount_original,unit_original,source_id,item_identifier,table_or_statement,page_or_frame,transcription_method,verification_status,reconciliation_group,notes
AFB-P1OBS-0001,1791-12-31,1791-12-31,opening_balance,1792-01-01,national,balance,treasury_opening_balance,received_into_treasury,not_applicable,973905.75,"973905 dollars 75 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_excluded_from_receipt_denominator,AFB-P1-1792-A,"opening stock carried from prior year; not a 1792 inflow"
AFB-P1OBS-0002,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,recovery,balances_due_present_government,received_into_treasury,not_stated,5629.88,"5629 dollars 88 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"moneys advanced under present government"
AFB-P1OBS-0003,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,recovery,balances_due_late_government,received_into_treasury,not_stated,4702.82,"4702 dollars 82 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"balances from accounts originating under late government"
AFB-P1OBS-0004,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,asset_sale,arms_and_accoutrements,received_into_treasury,not_stated,4240.00,"4240 dollars 00 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"public stores sold to South Carolina"
AFB-P1OBS-0005,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,other_receipt,fines_penalties_forfeitures,received_into_treasury,not_stated,118.00,"118 dollars 00 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"reported cash receipt"
AFB-P1OBS-0006,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,loan_proceeds,bank_of_united_states_frontier_loan,received_into_treasury,not_stated,400000.00,"400000 dollars 00 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"part of 523500-dollar loan under act of 2 May 1792"
AFB-P1OBS-0007,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,loan_proceeds,bank_of_north_america_interest_free_loan,received_into_treasury,not_stated,156595.56,"156595 dollars 56 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"interest-free loan for War Department"
AFB-P1OBS-0008,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,loan_proceeds,amsterdam_bill_proceeds,received_into_treasury,not_stated,545902.89,"545902 dollars 89 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"Treasurer bills drawn on Amsterdam commissioners"
AFB-P1OBS-0009,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,accounting_loop,bank_stock_subscription_foreign_bills,unknown,not_applicable,2000000.00,"2000000 dollars 00 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_excluded_primary,AFB-P1-1792-A,"value of Amsterdam bills for Bank stock subscription; paired with Bank loan and 4 million dollars of canceled warrants per footnote"
AFB-P1OBS-0010,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,accounting_loop,bank_of_united_states_subscription_loan,unknown,not_applicable,2000000.00,"2000000 dollars 00 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_excluded_primary,AFB-P1-1792-A,"loan equal to Bank stock subscription; paired with foreign bills and canceled warrants per footnote"
